label,text
Ehlers-Danlos Syndrome,My doctor mentioned that my chronic pain could be related to Ehlers-Danlos Syndrome.
Peptic Ulcer Disease,My doctor mentioned that my cough could be related to Peptic Ulcer Disease.
Allergy,"I have trouble breathing and easily get out of breath. My face and torso are swollen, my eyes hurt, and I have a dry, hacking cough."
Bronchial Asthma,"Lately, I noticed rash, which is unusual for me."
Meniere's Disease,"Whenever I rest, the nausea seems to intensify."
Gastroesophageal Reflux Disease,I regularly feel sick after eating and puke up the entire meal. I constantly get horrible acid reflux agony and stomach discomfort.
Fungal Infection,"There is a persistent issue with pain, and I'm concerned."
Urinary Tract Infection,My doctor mentioned that my cough could be related to Urinary Tract Infection.
ALS,"Whenever I rest, the limb weakness seems to intensify."
Bladder Cancer,The pain is affecting my daily life significantly.
Cystic Fibrosis,The salty skin is affecting my daily life significantly.
Bronchial Asthma,"I've had a nagging cough that won't go away, and my breathing has become labored. My fever is also very high, and I'm feeling very weak and tired. I've been producing a lot of mucus when I cough"
Ebola Virus,I have a terrible headache that came out of nowhere
Dengue,I'm feeling discomfort due to cough.
Cervical Spondylosis,"There is a persistent issue with cough, and I'm concerned."
Malaria,"Lately, I noticed pain, which is unusual for me."
Acne,"There is a persistent issue with fever, and I'm concerned."
Drug Reaction,I have severe nausea and chest discomfort. I have been having chest discomfort lately. I often shiver a lot and feel really nervous.
Impetigo,"It started with pain, but now it's spreading."
Cushing's Syndrome,"Whenever I rest, the weight gain seems to intensify."
Typhoid,"Because of the vomiting and diarrhea, I've been having a lot of difficulties staying hydrated. There is a mild fever, too, as well as stomach pain."
Endometriosis,"Lately, I noticed painful periods, which is unusual for me."
Parkinson's Disease,"Lately, I noticed impaired balance, which is unusual for me."
Varicose Veins,The cramps in my calves have been making it difficult for me to walk and do my daily activities. They come on suddenly and last for several minutes.
Multiple Sclerosis,"Lately, I noticed balance problems, which is unusual for me."
Chronic Kidney Disease,"It started with rash, but now it's spreading."
Dimorphic Hemorrhoids,My doctor mentioned that my rash could be related to Dimorphic Hemorrhoids.
Myasthenia Gravis,"It started with muscle weakness, but now it's spreading."
Migraine,"Along with headaches, indigestion, acid reflux, excessive appetite, a sore neck, sadness, impatience, and visual disturbance, I have also been experiencing blurred and distorted vision."
Ebola Virus,I’ve been feeling extremely weak and can barely stand
Sarcoidosis,I've seen signs of skin lesions along with fatigue.
Dengue,"I've been having fatigue, and it's been getting worse."
Cervical Spondylosis,I've seen signs of cough along with fatigue.
Sjogren's Syndrome,I've seen signs of dry mouth along with fatigue.
Malaria,"I've had a high fever, chills, and intense itching. In addition, I have a headache and am perspiring a lot. I've been suffering from nausea as well as muscle ache."
Diphtheria,My nose is stuffy and leaking thick fluid
Dengue,"I've been having cough, and it's been getting worse."
Graves' Disease,"There is a persistent issue with irregular heartbeat, and I'm concerned."
Ebola Virus,I'm feeling discomfort due to rash.
Cushing's Syndrome,"It started with thin skin, but now it's spreading."
Ebola Virus,There’s a burning pain in my muscles and joints
Allergy,"Lately, I noticed pain, which is unusual for me."
Cushing's Syndrome,My doctor mentioned that my weight gain could be related to Cushing's Syndrome.
Drug Reaction,I have rash and also noticed related problems recently.
Endometriosis,"I've been having infertility, and it's been getting worse."
Parkinson's Disease,"Whenever I rest, the impaired balance seems to intensify."
Common Cold,"My eyes are usually red and runny, and my nose is always stuffy. I've also been having difficulty breathing and my chest hurts. In addition, I can't smell anything and my muscles are quite painful."
Fungal Infection,"I've been having pain, and it's been getting worse."
Fungal Infection,"Recently, I've been scratching myself a lot, and my skin is covered with rashy places. Additionally, I've had a few pimples that are rather firm, and there are certain spots on my body that have a different shade of brown than the rest of my skin."
Sarcoidosis,"I've been having chest pain, and it's been getting worse."
Raynaud's Disease,I have numbness and also noticed related problems recently.
Cervical Spondylosis,"I've been having pain, and it's been getting worse."
Psoriasis,I've seen signs of joint pain along with fatigue.
Peptic Ulcer Disease,"My mouth is filled with a sour, acidic flavour. My burping and belching are frequent. For a few hours, I get pressure or fullness in my upper belly."
ALS,"Lately, I noticed limb weakness, which is unusual for me."
Parkinson's Disease,"Whenever I rest, the speech changes seems to intensify."
Graves' Disease,"It started with irregular heartbeat, but now it's spreading."
Cystic Fibrosis,"I've been having lung infections, and it's been getting worse."
Common Cold,I have pain and also noticed related problems recently.
Ebola Virus,My doctor mentioned that my rash could be related to Ebola Virus.
Sarcoidosis,My doctor mentioned that my shortness of breath could be related to Sarcoidosis.
Cushing's Syndrome,"I've been having purple stretch marks, and it's been getting worse."
Sarcoidosis,"It started with shortness of breath, but now it's spreading."
Jaundice,The fatigue is affecting my daily life significantly.
Graves' Disease,I'm feeling discomfort due to bulging eyes.
Ebola Virus,There’s blood leaking from my eyes like tears
Fungal Infection,"Doctor, My skin is covered in an uncomfortable rash and has a few odd patches of skin that are a different colour. There are a few pimples on my skin that resemble little knots."
Varicose Veins,"I've been having fatigue, and it's been getting worse."
ALS,I'm feeling discomfort due to difficulty swallowing.
Myasthenia Gravis,"Whenever I rest, the drooping eyelids seems to intensify."
Dimorphic Hemorrhoids,I'm feeling discomfort due to cough.
Ebola Virus,"It started with fatigue, but now it's spreading."
Hypertension,"I've been having chest discomfort, and it's been getting worse."
Typhoid,"I've been having pain, and it's been getting worse."
Common Cold,"There is a persistent issue with pain, and I'm concerned."
Dengue,"I have been experiencing back pain that is worse when I sit or stand for a long time. Also, there are rashes all over my body. There is a pain behind my eyes too."
Sjogren's Syndrome,"There is a persistent issue with swollen salivary glands, and I'm concerned."
Dimorphic Hemorrhoids,"Whenever I rest, the fever seems to intensify."
Hypertension,"I was in the middle of a workout when I suddenly developed a headache, chest pain, and dizziness. It's been hard for me to maintain my balance since then"
Urinary Tract Infection,"I get frequent urges to urinate at night with little output, and a lot of pain during urination. The urine is coludy and bloody and sometime foul smelling, and I get nauseous"
ALS,I'm feeling discomfort due to limb weakness.
Migraine,I've seen signs of aura along with fatigue.
Dimorphic Hemorrhoids,"I've been having rash, and it's been getting worse."
Chronic Kidney Disease,"Lately, I noticed rash, which is unusual for me."
Graves' Disease,"Lately, I noticed bulging eyes, which is unusual for me."
Typhoid,"Most of the time I feel fatigued. I don't want to eat anything. I get a high fever and chills every night. Moreover, I have been vomiting since yesterday."
Common Cold,"There is a persistent issue with cough, and I'm concerned."
Dengue,"Lately, I noticed fatigue, which is unusual for me."
Psoriasis,"I've been having scaly skin patches, and it's been getting worse."
Fungal Infection,"I've been having a lot of problems with itching, and it's been accompanied by a rash that seems to be getting worse over time. There are also some patches of skin that are different colors than the rest, and I've noticed some bumps that look like little nodes."
Hypertension,"In addition to a head pain, chest pain, instability, and balance issues, I've already been feeling unwell. I also suppose I'm having issues focusing."
Acne,I have cough and also noticed related problems recently.
Sjogren's Syndrome,"Whenever I rest, the joint pain seems to intensify."
Acne,My skin has recently been severely rashy. Blackheads and pus-filled pimples have blocked it. My skin has been quite delicate as well.
Bronchial Asthma,"Lately, I noticed fever, which is unusual for me."
Typhoid,"I have had some constipation and belly pain, which has been really uncomfortable. The pain has been getting worse and it's really affecting my daily life."
Arthritis,I've been feeling truly frail in my muscles recently and my neck has been truly solid. Swollen joints make it difficult for me to move around. Walking has also been difficult.
Impetigo,I have rashes on my face. I am starting to have small sores around my nose and often a yellow fluid comes out of the sores. The sores are becoming extremely painful.
Migraine,"I have been struggling with acid reflux, indigestion, and headaches, as well as blurred and distorted vision, excessive hunger, a sore neck, depression, irritability, and visual disturbance."
Myasthenia Gravis,"There is a persistent issue with difficulty swallowing, and I'm concerned."
Chronic Kidney Disease,"Whenever I rest, the cough seems to intensify."
Peptic Ulcer Disease,"I'm feeling both bloated and uneasy. Because I've been losing weight, I no longer like eating. I occasionally get tarry, black stools and blood in my vomit."
Tuberculosis,I get short of breath even when sitting still.
Jaundice,"Lately, I noticed fever, which is unusual for me."
Sjogren's Syndrome,I have dry eyes and also noticed related problems recently.
Multiple Sclerosis,"Whenever I rest, the muscle weakness seems to intensify."
Hypertension,"I've been having chest discomfort, and it's been getting worse."
Tuberculosis,My fever rises every evening like clockwork.
Hepatitis B,"Whenever I rest, the rash seems to intensify."
Tuberculosis,Night sweats soak my sheets almost every night.
Diabetes,The slow healing wounds is affecting my daily life significantly.
Jaundice,"I have been suffering from intense itching, vomiting, fatigue, and weight loss. My fever is high and my skin has turned yellow. My urine is dark and I have been experiencing abdominal pain"
Chicken Pox,There are small red spots all over my body. The spots are itchy and uncomfortable. I also have a mild fever and headache.
Hepatitis B,My skin has turned yellow and I feel nauseous most of the day.
Drug Reaction,"It started with rash, but now it's spreading."
Urinary Tract Infection,"In the last four days, I've experienced low temperatures and blood in my pee. My head hurts so much and my urine smells awful. The desires to urinate seldom come on cue, and I hardly ever have any control over when they do."
Dimorphic Hemorrhoids,I have fatigue and also noticed related problems recently.
Allergy,"It started with cough, but now it's spreading."
Varicose Veins,"Whenever I rest, the rash seems to intensify."
Ebola Virus,"Lately, I noticed pain, which is unusual for me."
Typhoid,"I've been feeling exhausted and weak, and I can't seem to get rid of it. Because of the vomiting and nausea, I've entirely lost my appetite. My belly pains which are causing me concern."
Bronchial Asthma,"I've been experiencing difficulty breathing, a chronic cough, and weariness. I've been producing a lot of thick, mucoid sputum while also running a very high temperature. Due to having to cope with all of this, I'm simply feeling extremely worn out and exhausted."
Fungal Infection,"Lately, I noticed fever, which is unusual for me."
Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them."
Varicose Veins,The veins on my calves are very prominent and are causing me a lot of discomforts. They are swollen and protrude from my skin.
Chicken Pox,"There is a persistent issue with fatigue, and I'm concerned."
Dimorphic Hemorrhoids,"I've been constipated and it's really hard to go to the bathroom. When I do go, it hurts and my stool has been bloody. I've also been having some pain in my butt and my anus has been really itchy and irritated."
Multiple Sclerosis,The balance problems is affecting my daily life significantly.
Psoriasis,The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.
Bladder Cancer,I sometimes see clots in my urine but it’s painless
Urinary Tract Infection,"My stomach hurts, and I frequently acquire a temperature. I experience sudden, intense cravings to urinate. The discomfort is virtually always there and frequently gets worse at night. My pee nearly always smells bad."
Gastroesophageal Reflux Disease,"Lately, I noticed fever, which is unusual for me."
Impetigo,"I am experiencing skin rashes with burning sores. The blistering sores are fluid-filled, elevated, red colored lesions that are unpleasant to touch. I also have a high fever."
Drug Reaction,"I'm feeling really lightheaded and dizzy when I have a temperature. My mind is completely muddled, and my heart is racing. I find it difficult to think clearly, and everything seems quite hazy."
Gastroesophageal Reflux Disease,My doctor mentioned that my cough could be related to Gastroesophageal Reflux Disease.
Impetigo,"Over the last two days, the rash on my face has gotten more severe and inflamed, and the blisters have begun to bleed clear pus. It is really painful to deal with."
Ebola Virus,The cough is affecting my daily life significantly.
Sarcoidosis,My doctor mentioned that my chest pain could be related to Sarcoidosis.
Diabetes,"I'm drinking more water and urinating more frequently. My throat and mouth are frequently dry. Recently, my appetite and hunger have both grown."
Chronic Kidney Disease,My doctor mentioned that my pain could be related to Chronic Kidney Disease.
ALS,"Whenever I rest, the slurred speech seems to intensify."
Varicose Veins,The cough is affecting my daily life significantly.
Raynaud's Disease,"There is a persistent issue with tingling, and I'm concerned."
Parkinson's Disease,I have impaired balance and also noticed related problems recently.
Chronic Kidney Disease,"Lately, I noticed fever, which is unusual for me."
Multiple Sclerosis,"I've been having vision loss, and it's been getting worse."
Allergy,"I've been having fever, and it's been getting worse."
Peptic Ulcer Disease,I'm feeling discomfort due to fever.
Hiv/Aids,I'm constantly catching colds and feeling sick.
Psoriasis,My doctor mentioned that my joint pain could be related to Psoriasis.
Graves' Disease,"Lately, I noticed anxiety, which is unusual for me."
Cervical Spondylosis,"Lately, I noticed fatigue, which is unusual for me."
Peptic Ulcer Disease,"I've been having rash, and it's been getting worse."
Sjogren's Syndrome,"It started with swollen salivary glands, but now it's spreading."
Ebola Virus,I feel intense muscle and joint pain that started all of a sudden
Multiple Sclerosis,My doctor mentioned that my numbness could be related to Multiple Sclerosis.
Endometriosis,I've seen signs of infertility along with fatigue.
Pneumonia,"It started with fever, but now it's spreading."
Meniere's Disease,I've seen signs of hearing loss along with fatigue.
Cervical Spondylosis,"I've been having cough, and it's been getting worse."
Pneumonia,My doctor mentioned that my rash could be related to Pneumonia.
Parkinson's Disease,I'm feeling discomfort due to stiffness.
Chicken Pox,"There is a persistent issue with rash, and I'm concerned."
Multiple Sclerosis,"It started with vision loss, but now it's spreading."
Chronic Kidney Disease,I’ve noticed my socks leave deeper marks than usual
Diabetes,"It started with fatigue, but now it's spreading."
Hiv/Aids,I wake up several times a night drenched in sweat.
Meniere's Disease,I have tinnitus and also noticed related problems recently.
Urinary Tract Infection,"Lately, I noticed fever, which is unusual for me."
Cystic Fibrosis,The salty skin is affecting my daily life significantly.
Drug Reaction,I have fever and also noticed related problems recently.
Acute Lymphoblastic Leukaemia,"Lately, I noticed pain, which is unusual for me."
Myasthenia Gravis,I have fatigue and also noticed related problems recently.
Raynaud's Disease,"Lately, I noticed numbness, which is unusual for me."
Bronchial Asthma,"I've been feeling really ill lately. I've had this persistent cough and difficulty breathing, and my fever has been off the charts. I'm also feeling extremely exhausted, and I've been producing a lot of mucus when I cough. It's just been so overwhelming to deal with all of these symptoms"
Sjogren's Syndrome,"There is a persistent issue with dry mouth, and I'm concerned."
Hepatitis B,There’s throbbing discomfort inside my abdomen.
Typhoid,"I've been having a lot of trouble sleeping because of the high fever, headache and chills. I wake up every day having a terrible pain in my belly area."
Migraine,My doctor mentioned that my nausea could be related to Migraine.
Sarcoidosis,I'm feeling discomfort due to chest pain.
Diabetes,"I have a chronic dry cough. I have palpitations and my infections don't appear to be getting better. I also have a painful throat issue, although it does seem to go away."
Graves' Disease,I've seen signs of irregular heartbeat along with fatigue.
Impetigo,"I've acquired skin rashes with blistering sores. The blistering sores are fluid-filled, elevated lesions that are unpleasant to touch. I'm also running a high fever."
Varicose Veins,The rash on my legs is spreading and becoming more severe. It has become very difficult for me to run.
Myasthenia Gravis,I have fatigue and also noticed related problems recently.
Psoriasis,"Whenever I rest, the nail pitting seems to intensify."
Arthritis,"There is a persistent issue with fatigue, and I'm concerned."
Crohn's Disease,"Lately, I noticed abdominal pain, which is unusual for me."
Cystic Fibrosis,My doctor mentioned that my salty skin could be related to Cystic Fibrosis.
Bronchial Asthma,I have rash and also noticed related problems recently.
Arthritis,"My muscles have been feeling rather weak lately, but my neck has been really strong. My joints have swollen, making it challenging for me to move about. It has also been excruciatingly difficult to walk."
Bladder Cancer,I have fatigue and also noticed related problems recently.
Typhoid,"I am experiencing a lot of nausea and vomiting, and it's been quite difficult for me to eat anything. I've entirely lost my appetite, and as a result, I have become quite weak."
Parkinson's Disease,"I've been having slowed movement, and it's been getting worse."
Acne,"I've been having fatigue, and it's been getting worse."
Bladder Cancer,I’m losing weight without dieting or trying
Chronic Kidney Disease,I feel colder than usual even in warm weather
Pneumonia,I've seen signs of rash along with fatigue.
Myasthenia Gravis,The drooping eyelids is affecting my daily life significantly.
Meniere's Disease,I'm feeling discomfort due to nausea.
Arthritis,I've seen signs of fever along with fatigue.
Dimorphic Hemorrhoids,I'm having a lot of trouble with my bowel movements lately. It's hard to go and it hurts when I do. My anus is really sore and it's been bleeding when I go. It's really painful and I'm really uncomfortable.
Varicose Veins,"There is a persistent issue with pain, and I'm concerned."
Acute Lymphoblastic Leukaemia,I often wake up drenched in sweat and feel really cold afterward
Hepatitis B,"I've been having pain, and it's been getting worse."
Sarcoidosis,"Lately, I noticed shortness of breath, which is unusual for me."
Myasthenia Gravis,I've seen signs of double vision along with fatigue.
Raynaud's Disease,I'm feeling discomfort due to color changes in fingers.
Myasthenia Gravis,"There is a persistent issue with double vision, and I'm concerned."
Crohn's Disease,"It started with weight loss, but now it's spreading."
Myasthenia Gravis,"I've been having difficulty swallowing, and it's been getting worse."
Impetigo,"It started with fever, but now it's spreading."
Jaundice,"It started with cough, but now it's spreading."
Acute Lymphoblastic Leukaemia,"I've been having pain, and it's been getting worse."
Urinary Tract Infection,"My pee has a strong, unpleasant scent and a hazy appearance. Since these symptoms started appearing, I regularly feel the desire to urinate at night and have been experiencing high temperatures"
Varicose Veins,I have fatigue and also noticed related problems recently.
Gastroesophageal Reflux Disease,"I'm not in the mood to eat, and swallowing is difficult. I often have this lingering feeling of fullness even after little meals. My typical symptoms include heartburn, nausea, and throat tingling."
Gastroesophageal Reflux Disease,"My throat often feels like it is burning, especially after eating. A bitter or sour aftertaste that I occasionally experience also makes me feel unwell."
Malaria,"Along with my intense scratching, chills, nausea, and high fever, I've also been feeling really unwell. Along with my headache and excessive sweating, I've been suffering from severe muscle pain and nausea."
Ebola Virus,I’m experiencing confusion and extreme fatigue
Diabetes,"Lately, I noticed blurred vision, which is unusual for me."
Ehlers-Danlos Syndrome,"I've been having easy bruising, and it's been getting worse."
Peptic Ulcer Disease,The rash is affecting my daily life significantly.
Common Cold,I've been sneezing a lot and feeling really tired and sick. There's also a lot of gross stuff coming out of my nose and my throat feels really scratchy. And my neck feels swollen too.
Graves' Disease,I've seen signs of bulging eyes along with fatigue.
Crohn's Disease,I'm feeling discomfort due to abdominal pain.
Acne,"Lately, I noticed rash, which is unusual for me."
Psoriasis,"I've seen a sudden peeling of skin on various regions of my body, mostly my arms, legs, and back. In addition, I have significant joint pain and skin rashes. The rash is spreading to different parts of my body."
Dimorphic Hemorrhoids,"It's incredibly difficult for me to use the restroom, and when I do, it hurts a lot. My stools have been bloody, and my butt has been hurting. My anus has also been quite itching and aggravated."
Arthritis,"My neck has been extremely tight and my muscles have been feeling extremely weak. My joints have been swollen and I've been walking around with a lot of stiffness. Additionally, walking has been extremely uneasy."
Migraine,"Along with headaches, indigestion, acid reflux, excessive appetite, a sore neck, sadness, impatience, and visual disturbance, I have also been feeling blurred and distorted vision."
Varicose Veins,The skin around the veins on my legs is red and inflamed. I believe I can see some of the swollen blood vessels. I am really worried about it.
Bronchial Asthma,"With my persistent cough, respiratory issues, and exhaustion, I've been struggling. I have a high fever and have been producing a lot of thick, mucoid sputum while coughing. I currently feel rather sick as a result of how draining and tiresome everything has been."
Fungal Infection,"I've had a rash on my skin that looks like dischromic patches, and I also have a lot of nodular eruptions and really bad itching. During the previous week, it has become worse."
Acute Lymphoblastic Leukaemia,"It started with rash, but now it's spreading."
Meniere's Disease,"I've been having nausea, and it's been getting worse."
Chronic Kidney Disease,My urine looks a bit foamy sometimes but I don’t have pain
Fungal Infection,I've seen signs of cough along with fatigue.
Bronchial Asthma,"I've had a fever, a cough that won't go away, and shortness of breath. In addition, I've been coughing up a lot of thick, mucoid saliva and I feel quite worn out and weak."
Dimorphic Hemorrhoids,"Whenever I rest, the pain seems to intensify."
Chronic Kidney Disease,"My legs feel heavy and tired, especially by the evening"
Bladder Cancer,"I've been having rash, and it's been getting worse."
Gastroesophageal Reflux Disease,"I'm not in the mood to eat, and swallowing is difficult. I often have this lingering feeling of fullness even after little meals. My typical symptoms include heartburn, nausea, and throat tingling."
Fungal Infection,"There are rashy areas all over my skin, which has been really irritating. Additionally, I have some bumps that are fairly firm and some patches that are a different colour from the rest of my skin."
Cystic Fibrosis,"It started with salty skin, but now it's spreading."
Psoriasis,"My joints are experiencing an unusual discomfort. Additionally, I've experienced weird skin peeling in various places on my body. I'm concerned that something is wrong with my body. "
Chronic Kidney Disease,"I've been having fever, and it's been getting worse."
Typhoid,"I've had a persistent headache for the past week, and it's been getting worse. It's been accompanied by belly aches, constipation and diarrhea."
Jaundice,The pain is affecting my daily life significantly.
Drug Reaction,"My desire for sex has dropped, and I'm having trouble having sex. I frequently get brain fog, as well as feeling somewhat bewildered."
Migraine,I've seen signs of sensitivity to light along with fatigue.
Hypertension,I have vision problems and also noticed related problems recently.
Peptic Ulcer Disease,I have a strong appetite and am constantly hungry. My stomach occasionally aches and cramps. I have really painful gas and bloating after eating.
Arthritis,"There is a persistent issue with pain, and I'm concerned."
Migraine,The visual disturbances is affecting my daily life significantly.
Bladder Cancer,"Whenever I rest, the rash seems to intensify."
Hiv/Aids,"Lately, I noticed pain, which is unusual for me."
Dengue,"There is a persistent issue with rash, and I'm concerned."
Chicken Pox,"Whenever I rest, the fever seems to intensify."
Peptic Ulcer Disease,I have bloating and a feeling of uneasiness. I have been experiencing weight loss and a loss of appetite. Sometimes I have dark and tarry stools and blood in my vomit
Pneumonia,"It started with cough, but now it's spreading."
Sarcoidosis,"It started with shortness of breath, but now it's spreading."
Hiv/Aids,"It started with fever, but now it's spreading."
Jaundice,"I've been having fever, and it's been getting worse."
Arthritis,"My neck has been extremely stiff and my muscles have been extremely weak. As a result of swelling in my joints, I find it difficult to move around without feeling stiff. Additionally, walking has been extremely uneasy."
Migraine,"There is a persistent issue with nausea, and I'm concerned."
Peptic Ulcer Disease,I'm feeling discomfort due to cough.
Sjogren's Syndrome,My doctor mentioned that my dry eyes could be related to Sjogren's Syndrome.
Chronic Kidney Disease,I've seen signs of fatigue along with fatigue.
Tuberculosis,My throat feels raw from coughing so much.
Gastroesophageal Reflux Disease,I've seen signs of pain along with fatigue.
Ehlers-Danlos Syndrome,The joint hypermobility is affecting my daily life significantly.
Hypertension,"I have been feeling fine all day, but suddenly developed a headache, chest pain, and dizziness while out for a walk. It's been hard for me to focus and concentrate since then."
Bronchial Asthma,"I've been having issues with exhaustion, a dry cough, and breathing. I have a very high fever and have been coughing up a lot of thick, mucoid phlegm."
Hepatitis B,I've experienced chills without any clear reason.
Cushing's Syndrome,"It started with purple stretch marks, but now it's spreading."
Endometriosis,I've seen signs of painful periods along with fatigue.
Graves' Disease,The bulging eyes is affecting my daily life significantly.
Hiv/Aids,"I've been having pain, and it's been getting worse."
Myasthenia Gravis,"There is a persistent issue with difficulty swallowing, and I'm concerned."
Varicose Veins,The skin on my calves has become inflamed and red. My legs hurt if I try to run or do any physical activities.
Pneumonia,"Whenever I rest, the fatigue seems to intensify."
Hypertension,"I've had intense aches in my chest, a headache that won't go away, and I've been feeling dizzy and unsteady."
Varicose Veins,"Walking is tough for me because of cramps in my calves. Obesity, I believe, is the cause of this. After a while of working, I'm exhausted."
Hypertension,"I've been experiencing balance issues, chest pain, headaches, and pains. I've been having trouble focusing as well."
Sarcoidosis,I've seen signs of shortness of breath along with fatigue.
Fungal Infection,The fever is affecting my daily life significantly.
Crohn's Disease,"It started with rectal bleeding, but now it's spreading."
Dengue,"I have developed a skin rash that covers my entire body. The rash is red and swollen, and is worse in certain areas such as my arms and legs. I have also lost my appetite. "
Chicken Pox,I've seen signs of cough along with fatigue.
Sarcoidosis,I have skin lesions and also noticed related problems recently.
Common Cold,"I've been quite exhausted and ill. I have been sneezing a lot and am having trouble warming up. I'm so exhausted, and my head hurts. And I feel like I am boiling over with my high temperature."
Malaria,"I've had severe itching, chills, vomiting, and a high fever. I'm also sweating excessively and have a headache. Nausea and muscle pain have also been causing me a lot of discomfort."
Cystic Fibrosis,"Lately, I noticed poor growth, which is unusual for me."
Common Cold,I'm feeling discomfort due to rash.
Graves' Disease,I've seen signs of irregular heartbeat along with fatigue.
Pneumonia,My doctor mentioned that my fever could be related to Pneumonia.
Acne,"It started with fatigue, but now it's spreading."
Chronic Kidney Disease,I've seen signs of fever along with fatigue.
Lupus,I've seen signs of joint pain along with fatigue.
ALS,I'm feeling discomfort due to muscle twitching.
Cervical Spondylosis,"I've been struggling with severe back pain, a dry cough, and limb weakness. I've been feeling lightheaded and wobbly on my feet, and my neck hurts."
Acne,I have fever and also noticed related problems recently.
Fungal Infection,"There is a persistent issue with pain, and I'm concerned."
Endometriosis,I've seen signs of infertility along with fatigue.
Psoriasis,"I've had trouble sleeping because of the itching and pain produced by the rash. My nails have little dents, which is really alarming. Moreover, my joints pain everyday and I have no idea what is causing it."
Endometriosis,"It started with painful periods, but now it's spreading."
Bronchial Asthma,I'm feeling discomfort due to rash.
Impetigo,I have been suffering from a high fever for the last couple of days. Sores are developing near my nose. The sores are painful and I am feeling very uncomfortable these days.
Hepatitis B,Even light activity makes me feel breathless and weak.
Arthritis,"There is a persistent issue with fatigue, and I'm concerned."
Endometriosis,"Lately, I noticed infertility, which is unusual for me."
Gastroesophageal Reflux Disease,"Whenever I rest, the rash seems to intensify."
Varicose Veins,The prominent blood vessels on my calves are causing self-consciousness and embarrassment. I believe the problem is because of my overweight.
Sarcoidosis,"It started with chest pain, but now it's spreading."
Fungal Infection,The cough is affecting my daily life significantly.
Cystic Fibrosis,I have poor growth and also noticed related problems recently.
Bladder Cancer,I've seen signs of cough along with fatigue.
Sjogren's Syndrome,"Lately, I noticed dry mouth, which is unusual for me."
Parkinson's Disease,I have impaired balance and also noticed related problems recently.
Hypertension,"There is a persistent issue with chest discomfort, and I'm concerned."
Typhoid,"I am experiencing constipation and stomach ache. The discomfort has gotten worse, and it is seriously interfering with my everyday life. I feel like I have lost my appetite to eat anything."
Ebola Virus,My doctor mentioned that my cough could be related to Ebola Virus.
Cervical Spondylosis,"Back pain, a persistent cough, and numbness in my arms and legs have been bothering me. My neck hurts, and I've been feeling lightheaded and unsteady."
Bronchial Asthma,"It started with pain, but now it's spreading."
Acne,I've seen signs of pain along with fatigue.
Cystic Fibrosis,I'm feeling discomfort due to digestive issues.
Lupus,"It started with butterfly rash, but now it's spreading."
Cervical Spondylosis,"Back discomfort, a breathing difficulty, and weakness in my limbs have been hurting me. I have issues with vertigo and losing my balance, and my neck hurts."
Arthritis,"My muscles area unit quite weak, and my neck has been terribly stiff. My joints have swollen, making it hard on behalf of Maine to steer regarding whereas not feeling stiff. Walking has put together been terribly uncomfortable."
Gastroesophageal Reflux Disease,"After eating, I get queasy and frequently throw up everything I've eaten. I always get severe abdominal ache and have terrible acid reflux."
Sarcoidosis,My doctor mentioned that my skin lesions could be related to Sarcoidosis.
Tuberculosis,"There is a persistent issue with weight loss, and I'm concerned."
Parkinson's Disease,"Lately, I noticed slowed movement, which is unusual for me."
Chicken Pox,The itching is making it hard for me to sleep at night. I can't seem to get any rest because the rash is so itchy and uncomfortable. I'm feeling really tired and exhausted.
Impetigo,I'm feeling quite ill. I have a high fever and a headache. Rashes appeared on my arms and face. I'm quite concerned about this. I saw red sores around my nose and lips today.
Ebola Virus,There’s blood in my vomit and stool now
Dimorphic Hemorrhoids,I've seen signs of cough along with fatigue.
Pneumonia,"I'm having a lot of problems breathing. I'm not feeling good, and I'm sweating a lot. I have a lot of mucous in my throat and my chest hurts. My breathing is laboured, and the phlegm I'm coughing up has an odd tint."
Urinary Tract Infection,"Lately, I noticed cough, which is unusual for me."
Chronic Kidney Disease,"It started with fatigue, but now it's spreading."
Ebola Virus,There’s a weird metallic taste in my mouth and dry throat
Bladder Cancer,"There is a persistent issue with fever, and I'm concerned."
Ehlers-Danlos Syndrome,I have joint hypermobility and also noticed related problems recently.
Acne,"It started with cough, but now it's spreading."
Ebola Virus,I have an odd rash that’s spreading over my torso
Bladder Cancer,I've seen signs of fatigue along with fatigue.
Acute Lymphoblastic Leukaemia,"I've been having pain, and it's been getting worse."
Cervical Spondylosis,"I have been suffering from back pain, a productive cough, and weakness in my limbs. My neck is sore and I have had issues with dizziness and balance."
Sjogren's Syndrome,"There is a persistent issue with swollen salivary glands, and I'm concerned."
Parkinson's Disease,I have speech changes and also noticed related problems recently.
Acne,"It started with rash, but now it's spreading."
Pneumonia,"I'm having trouble breathing and am really uncomfortable. I'm sweating profusely and have a lot of mucus in my throat. My chest aches, and my heart is racing. I'm coughing up dark mucous."
Acne,"Lately, I noticed rash, which is unusual for me."
Acne,"This morning when I woke up, I discovered that I have an extremely bad rash all over my body. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot."
Sarcoidosis,"Whenever I rest, the swollen lymph nodes seems to intensify."
Chronic Kidney Disease,I'm feeling discomfort due to fatigue.
